brand_name,brand_key,designer,show_date,show_time,venue_name
IFM Master of Arts,ifm master of arts,,2026-03-02,14:30:00,
CO,co,,2026-03-02,15:30:00,
Weinsanto,weinsanto,,2026-03-02,16:00:00,
Vautrait,vautrait,,2026-03-02,16:30:00,
Burc Akyol,burc akyol,,2026-03-02,17:00:00,
Kimhekim,kimhekim,,2026-03-02,17:30:00,Palais de Tokyo
Julie Kegels,julie kegels,,2026-03-02,18:00:00,
Hodakova,hodakova,,2026-03-02,19:00:00,
Vaquera,vaquera,,2026-03-02,20:30:00,
Zomer,zomer,,2026-03-03,10:00:00,
Ganni,ganni,,2026-03-03,10:00:00,
Marie Adam-Leenaerdt,marie adamleenaerdt,,2026-03-03,11:30:00,
Maitrepierre,maitrepierre,,2026-03-03,12:00:00,
Mame Kurogouchi,mame kurogouchi,,2026-03-03,13:00:00,
Christian Dior,christian dior,,2026-03-03,14:30:00,Jardin des Tuileries
Matieres Fecales,matieres fecales,,2026-03-03,16:00:00,
Anrealage,anrealage,,2026-03-03,17:00:00,
Pressiat,pressiat,,2026-03-03,17:30:00,
Alainpaul,alainpaul,,2026-03-03,18:00:00,
Saint Laurent,saint laurent,,2026-03-03,20:00:00,
Loulou de Saison,loulou de saison,,2026-03-04,10:00:00,
Courreges,courreges,,2026-03-04,10:30:00,
Reverie By Caroline Hu,reverie by caroline hu,,2026-03-04,11:30:00,
The Row,the row,,2026-03-04,12:00:00,
Balmain,balmain,,2026-03-04,13:30:00,
Dries Van Noten,dries van noten,,2026-03-04,15:00:00,
Stella McCartney,stella mccartney,,2026-03-04,16:00:00,
Acne Studios,acne studios,,2026-03-04,17:30:00,
Tom Ford,tom ford,,2026-03-04,19:00:00,
Alaia,alaia,,2026-03-04,21:00:00,
Chloe,chloe,,2026-03-05,10:00:00,Maison de l'UNESCO
Junko Shimada,junko shimada,,2026-03-05,11:00:00,
Off-White,offwhite,,2026-03-05,11:30:00,
Carven,carven,,2026-03-05,12:30:00,
Rabanne,rabanne,,2026-03-05,14:00:00,
Uma Wang,uma wang,,2026-03-05,15:00:00,
Gauchere,gauchere,,2026-03-05,15:30:00,
Cecilie Bahnsen,cecilie bahnsen,,2026-03-05,16:00:00,
Icicle,icicle,,2026-03-05,16:30:00,
Schiaparelli,schiaparelli,,2026-03-05,17:30:00,Carrousel du Louvre
Mossi,mossi,,2026-03-05,18:00:00,
Rick Owens,rick owens,,2026-03-05,18:30:00,Palais de Tokyo
Isabel Marant,isabel marant,,2026-03-05,20:00:00,
Mugler,mugler,,2026-03-06,10:00:00,
Undercover,undercover,,2026-03-06,10:00:00,
Loewe,loewe,,2026-03-06,11:30:00,Chateau de Vincennes
Ruohan,ruohan,,2026-03-06,12:30:00,
Issey Miyake,issey miyake,,2026-03-06,13:00:00,
Vaillant,vaillant,,2026-03-06,14:00:00,
Jitrois,jitrois,,2026-03-06,14:00:00,
Lanvin,lanvin,,2026-03-06,15:30:00,
Nina Ricci,nina ricci,,2026-03-06,16:30:00,
Givenchy,givenchy,,2026-03-06,17:30:00,
Yohji Yamamoto,yohji yamamoto,,2026-03-06,19:00:00,
Victoria Beckham,victoria beckham,,2026-03-06,20:00:00,
Barbara Bui,barbara bui,,2026-03-07,10:00:00,
Veronique Leroy,veronique leroy,,2026-03-07,10:00:00,
Junya Watanabe,junya watanabe,,2026-03-07,10:30:00,
Nehera,nehera,,2026-03-07,11:00:00,
Celine,celine,,2026-03-07,12:00:00,Institut de France
Noir Kei Ninomiya,noir kei ninomiya,,2026-03-07,13:00:00,
Dice Kayek,dice kayek,,2026-03-07,14:00:00,
Hermes,hermes,,2026-03-07,14:30:00,La Garde Republicaine
Vivienne Westwood,vivienne westwood,,2026-03-07,15:30:00,
Maxhosa Africa,maxhosa africa,,2026-03-07,16:00:00,
Elie Saab,elie saab,,2026-03-07,16:30:00,
Comme des Garcons,comme des garcons,,2026-03-07,17:30:00,
Ann Demeulemeester,ann demeulemeester,,2026-03-07,18:30:00,
Balenciaga,balenciaga,,2026-03-07,20:00:00,
Margaret Howell,margaret howell,,2026-03-08,10:00:00,
Paloma Wool,paloma wool,,2026-03-08,11:00:00,
Lacoste,lacoste,,2026-03-08,12:30:00,
Akris,akris,,2026-03-08,14:00:00,
Niccolo Pasqualetti,niccolo pasqualetti,,2026-03-08,15:00:00,
Jean Paul Gaultier,jean paul gaultier,,2026-03-08,16:30:00,
Magda Butrym,magda butrym,,2026-03-08,17:30:00,
Enfants Riches Deprimes,enfants riches deprimes,,2026-03-08,18:00:00,
Ottolinger,ottolinger,,2026-03-08,18:30:00,
McQueen,mcqueen,,2026-03-08,20:00:00,
Zimmermann,zimmermann,,2026-03-09,10:00:00,
Ungaro,ungaro,,2026-03-09,10:00:00,
Shiatzy Chen,shiatzy chen,,2026-03-09,11:30:00,
Gabriela Hearst,gabriela hearst,,2026-03-09,13:00:00,
Time,time,,2026-03-09,14:00:00,
Kiko Kostadinov,kiko kostadinov,,2026-03-09,15:00:00,
Abra,abra,,2026-03-09,16:00:00,
Boyarovskaya,boyarovskaya,,2026-03-09,16:30:00,
Agnes b.,agnes b,,2026-03-09,16:30:00,
Chanel,chanel,,2026-03-09,19:00:00,Grand Palais
Ujoh,ujoh,,2026-03-10,10:30:00,
Louis Vuitton,louis vuitton,,2026-03-10,11:30:00,Cour Carree du Louvre
Miu Miu,miu miu,,2026-03-10,14:00:00,Palais d'Iena
Florentina Leitner,florentina leitner,,2026-03-10,15:00:00,
CFCL,cfcl,,2026-03-10,15:30:00,
EENK,eenk,,2026-03-10,16:00:00,
Litkovska,litkovska,,2026-03-10,17:00:00,
Situationist,situationist,,2026-03-10,18:00:00,
Pierre Cardin,pierre cardin,,2026-03-10,19:00:00,
